Holder_ID,Holder_Type,Holder_Name,Residency_Country,Currency,Holder_Status,DRP_Flag,Holder_Reference_Type,Holder_Reference_Number,Communication Preference,Holder_Category,Initial_Allocation_Flag,Holder_ID
H0057,INDIVIDUAL,Tyler Perry,NZ,NZD,CLOSED,Y,HIN,X000000058,EMAIL,RETAIL,N,H0057
H0058,INDIVIDUAL,Brooke Hughes,SG,SGD,SUSPENDED,N,SRN,I000000059,POST,RETAIL,N,H0058
H0059,INDIVIDUAL,Nathan Foster,UK,GBP,DECEASED,Y,HIN,X000000060,EMAIL,RETAIL,N,H0059
H0060,INDIVIDUAL,Sarah Coleman,US,USD,DORMANT,N,SRN,I000000061,POST,RETAIL,N,H0060
H0061,JOINT,Michael & Sarah Lee,AU,AUD,ACTIVE,Y,HIN,X000000062,EMAIL,RETAIL,N,H0061
H0062,JOINT,Daniel & Emma Carter,NZ,NZD,CLOSED,N,SRN,I000000063,POST,RETAIL,N,H0062
H0063,JOINT,Liam & Grace Wilson,SG,SGD,SUSPENDED,Y,HIN,X000000064,EMAIL,RETAIL,N,H0063
H0064,JOINT,Noah & Chloe Turner,UK,GBP,DECEASED,N,SRN,I000000065,POST,RETAIL,N,H0064
H0065,JOINT,Ethan & Olivia Brooks,US,USD,DORMANT,Y,HIN,X000000066,EMAIL,RETAIL,N,H0065
H0066,JOINT,Henry & Amelia Foster,AU,AUD,ACTIVE,N,SRN,I000000067,POST,RETAIL,N,H0066
H0067,JOINT,Benjamin & Zoe Richardson,NZ,NZD,CLOSED,Y,HIN,X000000068,EMAIL,RETAIL,N,H0067
H0068,JOINT,Mason & Ava Mitchell,SG,SGD,SUSPENDED,N,SRN,I000000069,POST,RETAIL,N,H0068
H0069,JOINT,Lucas & Ella Simmons,UK,GBP,DECEASED,Y,HIN,X000000070,EMAIL,RETAIL,N,H0069
H0070,JOINT,Samuel & Charlotte Bailey,US,USD,DORMANT,N,SRN,I000000071,POST,RETAIL,N,H0070
H0071,JOINT,William & Isla Bryant,AU,AUD,ACTIVE,Y,HIN,X000000072,EMAIL,RETAIL,N,H0071
H0072,JOINT,Thomas & Layla Bennett,NZ,NZD,CLOSED,N,SRN,I000000073,POST,RETAIL,N,H0072
H0073,JOINT,Joshua & Ruby Collins,SG,SGD,SUSPENDED,Y,HIN,X000000074,EMAIL,RETAIL,N,H0073
H0074,JOINT,Connor & Lucy Carter,UK,GBP,DECEASED,N,SRN,I000000075,POST,RETAIL,N,H0074
H0075,JOINT,Leo & Georgia Harris,US,USD,DORMANT,Y,HIN,X000000076,EMAIL,RETAIL,N,H0075
H0076,SMSF,Walker Super Fund,AU,AUD,ACTIVE,N,SRN,I000000077,POST,RETAIL,N,H0076
H0077,SMSF,Bennett SMSF,NZ,NZD,CLOSED,Y,HIN,X000000078,EMAIL,RETAIL,N,H0077
H0078,SMSF,Horizon Super Fund,SG,SGD,SUSPENDED,N,SRN,I000000079,POST,RETAIL,N,H0078
H0079,SMSF,Wilson Retirement Fund,UK,GBP,DECEASED,Y,HIN,X000000080,EMAIL,RETAIL,N,H0079
H0080,SMSF,Riverstone SMSF,US,USD,DORMANT,N,SRN,I000000081,POST,RETAIL,N,H0080
H0081,SMSF,Foster Superannuation Fund,AU,AUD,ACTIVE,Y,HIN,X000000082,EMAIL,RETAIL,N,H0081
H0082,SMSF,Collins SMSF,NZ,NZD,CLOSED,N,SRN,I000000083,POST,RETAIL,N,H0082
H0083,SMSF,Mitchell Retirement Fund,SG,SGD,SUSPENDED,Y,HIN,X000000084,EMAIL,RETAIL,N,H0083
H0084,SMSF,Brooks Super Fund,UK,GBP,DECEASED,N,SRN,I000000085,POST,RETAIL,N,H0084
H0085,SMSF,Summit SMSF,US,USD,DORMANT,Y,HIN,X000000086,EMAIL,RETAIL,N,H0085
H0086,SMSF,Turner Super Fund,AU,AUD,ACTIVE,N,SRN,I000000087,POST,RETAIL,N,H0086
H0087,SMSF,Bailey Retirement Fund,NZ,NZD,CLOSED,Y,HIN,X000000088,EMAIL,RETAIL,N,H0087
H0088,SMSF,Aurora SMSF,SG,SGD,SUSPENDED,N,SRN,I000000089,POST,RETAIL,N,H0088
H0089,SMSF,Morgan Super Fund,UK,GBP,DECEASED,Y,HIN,X000000090,EMAIL,RETAIL,N,H0089
H0090,SMSF,Southern Coast SMSF,US,USD,DORMANT,N,SRN,I000000091,POST,RETAIL,N,H0090
H0091,TRUST,Bennett Family Trust,AU,AUD,ACTIVE,Y,HIN,X000000092,EMAIL,RETAIL,N,H0091
H0092,TRUST,Riverstone Investment Trust,NZ,NZD,CLOSED,N,SRN,I000000093,POST,RETAIL,N,H0092
H0093,TRUST,Bluegum Family Trust,SG,SGD,SUSPENDED,Y,HIN,X000000094,EMAIL,RETAIL,N,H0093
H0094,TRUST,Southern Coast Trust,UK,GBP,DECEASED,N,SRN,I000000095,POST,RETAIL,N,H0094
H0095,TRUST,Walker Holdings Trust,US,USD,DORMANT,Y,HIN,X000000096,EMAIL,RETAIL,N,H0095
H0096,TRUST,Early Investors Trust,AU,AUD,ACTIVE,N,SRN,I000000097,POST,INSTITUTIONAL,Y,H0096
H0097,TRUST,Collins Family Trust,NZ,NZD,CLOSED,Y,HIN,X000000098,EMAIL,RETAIL,N,H0097
H0098,FUND,Founder Holdings Pty Ltd,AU,AUD,ACTIVE,N,SRN,I000000099,POST,FOUNDATION,Y,H0098
H0099,FUND,Aurora Asset Management Pty Ltd,UK,GBP,DECEASED,Y,HIN,X000000100,EMAIL,RETAIL,N,H0099
H0100,FUND,Ironwood Investments Pty Ltd,US,USD,DORMANT,N,SRN,I000000101,POST,RETAIL,N,H0100
